commentId,text,time,isLiked,likeCount,author,channel,votes,photo,authorIsChannelOwner
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9CkO5oHz-A5,"Chavez hizo lo mismo por consejo de Castro, y llevando a cabo los planes del Foro de San Pablo soltó los presos mas peligrosos, los armó y hoy Maduro los tiene como ""brigadas populares"" ""fuerza antichoque"" y su ""seguridad personal""
O sea terrorismo de estado pero sin hacerse cargo de los muertos.",Hace 1 semana (editado),False,1,Marcelo Rondan,UCVZFVq98fwHVelBMSvcNbLQ,1,https://yt3.ggpht.com/a/AATXAJw-W9LYOP97_MU7Crf6xx8BNnp1eREgNrnhLcHM=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9CkOG4l5u7R,@Maury HDS Plan del foro de San Pablo.,Hace 1 semana,False,3,Marcelo Rondan,UCVZFVq98fwHVelBMSvcNbLQ,3,https://yt3.ggpht.com/a/AATXAJw-W9LYOP97_MU7Crf6xx8BNnp1eREgNrnhLcHM=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9ClXTTtW45D,@Marcelo Rondan Pero acá es más o menos lo mismo sólo que encubierto. Permitimos demasiado de estos apátridas,Hace 1 semana,False,0,Adriana Vandaele,UCMEr8G0yQTX4Zc8ZSMuAz7w,0,https://yt3.ggpht.com/a/AATXAJxjVql2IvokIy6FIaDntOtXZknGhUV1dX1nfMwugg=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9CmVs_RVleQ,"@Marcelo Rondan 🤣 siguen con ese foro, les lavaron el cerebro",Hace 1 semana,False,1,Ariel Zarate,UCtNCQ_ZHD0fRmy8q6ypCM2w,1,https://yt3.ggpht.com/a/AATXAJx_slctr1qmXA3BT5w3RbPl2n_8lL_xvJNwipolwQ=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9Cpn-mOFeZf,"Convocaron a un acampe , VENGAN!!! La gente esta aqui .",Hace 1 semana,False,0,Gian Nuñez,UCNlln2Ws1y1Wstvam-QXgKQ,0,https://yt3.ggpht.com/a/AATXAJyPOxOt1JJJyuhlbGBEc0q7rR0CitkrQUhZCWIO=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9CqiUDnhyWQ,https://www.youtube.com/watch?v=jS5f5CieMTw&t=301s,Hace 1 semana,False,0,L Manhattan,UCpZkZGIwH0x-MTSEMIqPwLg,0,https://yt3.ggpht.com/a/AATXAJy8mPbFfFfCDQomTahD4XmNBjp0RVegScBZlZx8Mw=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9Cqi_9Uap64,"Los test ni siquiera sirven, es todo un mega chiste lo que estamos viviendo.",Hace 1 semana,False,0,L Manhattan,UCpZkZGIwH0x-MTSEMIqPwLg,0,https://yt3.ggpht.com/a/AATXAJy8mPbFfFfCDQomTahD4XmNBjp0RVegScBZlZx8Mw=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9CqxSFaHqCK,SON LOS NUEVOS MONTONEROS LA MISMA VIOLENCIA Y ODIO A LA DEMOCRACIA  Y A LOS POBRES QUE NO SABEN VOTAR PORQUÉ  NO VOTARÁN  NUNCA MAS A MACRI,Hace 1 semana,False,0,Carlos Godoy,UCAaiXx-vKbqI9iOlZgNz3lw,0,https://yt3.ggpht.com/a/AATXAJymKKDb7QTJ_n5EIruZEVbTBsS9IJL6iqSu5w=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9CtF8y2uILF,https://www.eldestapeweb.com/politica/reforma-judicial/amenaza-de-muerte-a-cristina-kirchner-el-violento-mensaje-de-un-periodista-anti-k-y-ex-candidato-de-espert--202082720400,Hace 6 días,False,0,Sebastian Strauss,UC_KYmU0EKeESzMRP9sv21IA,0,https://yt3.ggpht.com/a/AATXAJyNZVKZ8wUBhiP_olW_qVtrVgO0FUJKrFEQxlE82g=s48-c-k-c0xffffffff-no-rj-mo,False
Ugzj-VKKXT4cDecHYv94AaABAg.9CfedW7gtAe9CulVH6NCyb,"Para los Liber-Virgos Pajertarios que le echan la culpa al Estado, Hasta de que no la ponen nunca :
 - Pobreza actual en el mundo Capitalista: 67,5% 
http://revistaanfibia.com/ensayo/no-somos-pais-de-mierda/ 
https://www.elmundo.es/elmundo/2012/01/13/economia/1326470186.html
https://www.bbc.com/mundo/noticias/2010/10/101013_economia_desarrollo_coreano_mj
http://jorgenegre.com.ar/web/wp-content/uploads/2017/05/Compo-gas-publi-768x432.jpg 
https://www.univision.com/noticias/opinion/la-falacia-de-laffer-y-las-lecciones-de-kansas-sobre-el-recorte-de-impuestos 
https://www.laizquierdadiario.com/El-pensamiento-libertario-la-batalla-cultural-y-la-nueva-ultra-derecha
http://revistaanfibia.com/ensayo/70-anos-de-peronismo/ 
https://www.cenital.com/es-cierto-que-argentina-se-jodio-en-1945/
https://www.instagram.com/guanaco_nacionalista/ https://www.elhistoriador.com.ar/el-informe-bialet-masse-y-la-clase-obrera-argentina-2/ https://amp.pagina12.com.ar/133026-no-fue-hace-70-anos https://www.laizquierdadiario.com/El-liberalismo-y-su-fracaso-historico
 https://izquierdadiario.com/Liberales-horror-show-Milei-y-Espert-canibales-al-ataque https://www.infobae.com/opinion/2019/01/11/el-problema-con-los-economistas-liberales-modernos/?outputType=amp-type
- Los Muertos del Capitalismo: 
https://mobile.twitter.com/histeriaobrera/status/1065714831792193536?lang=es 
https://rtrojoenespanol.blogspot.com/2016/03/1600-millones-de-muertos-por-el.html?m=1 https://kaosenlared.net/el-mayor-genocidio-de-la-humanidad-el-capitalismo-con-al-menos-320-millones-muertes-entre-1992-y-2015/ 
 https://es.m.wikipedia.org/wiki/El_libro_negro_del_capitalismo 
- Se estima que cada dia en el mundo mueren de hambre 18.000 niños y al año 6.570.000
https://www.abc.es/espana/abci-hasta-18000-ninos-entre-y-cuatro-anos-mueren-hambre-cada-201910160757_video_amp.html
- Porque la Escuela Austriaca es una estafa :
https://chemazdamundi.com/la-escuela-austriaca-contrastada/ 
- Porque SI, Existe el Neoliberalismo
https://chemazdamundi.com/el-neoliberalismo-contrastado-2/
https://mobile.twitter.com/ndvoskin/status/1272585995892994056
- El porque no es del todo exacta la ecuacion, Crear Dinero = Inflacion (verdadero origen multicausal)
http://eduardogarzon.net/desmontando-los-mitos-sobre-la-inflacion-y-la-creacion-de-dinero/
http://www.economiacritica.net/?p=7961
https://m.youtube.com/watch?v=ceE178UFHoc
- Los propios Liberales critican el famoso ""Índice de Libertad Económica "" de The Heritage Foundation
https://mises.org/es/library/el-fracaso-del-índice-de-libertad-económica
- Nacionalizaciones y Estatizaciones de Estados Unidos y de Paises Liberales de Europa:
https://www.elcohetealaluna.com/nacionalizaciones/
- Donald Trump el ""Liberal""
https://www.elcampohoy.com/amp.asp?categoria=Actualidad&titulo=Trump-ratifico-los-aranceles-para-el-biodiesel-argentino&id=261144
https://www.forbes.com/sites/chuckjones/2020/02/01/trumps-deficits-are-racing-past-obamas/
- Milton Friedman y Friedrich Hayek apoyaron la dictadura asesina de Pinochet, Hayek afirmo:
“Un dictador puede gobernar de manera liberal, así como una democracia gobierne sin el menor liberalismo. Mi preferencia personal es una dictadura liberal y no un gobierno democrático donde todo liberalismo esté ausente” 
https://www.elcohetealaluna.com/hay-que-jubilar-a-friedman-y-hayek/
Y Ludwig von Mises apoyo al regimen de Mussolini en su propias palabras afirmo:
"" No se puede negar que el fascismo [italiano] y movimientos similares que pretenden establecer dictaduras están llenos de las mejores intenciones y que su intervención, por el momento, ha salvado la civilización europea. El mérito que el fascismo ha ganado para sí mismo seguirá vivo eternamente en la historia""
https://mises.org/es/library/mises-sobre-el-fascismo-la-democracia-y-otras-preguntas
- Lo ""mal"" que le fue a Uruguay y a Bolivia con el ""Socialismo - Populismo"" que nunca funciona y que ama tanto a los pobres que lo multiplica: https://mobile.twitter.com/ltornarolli/status/1045657990370664448/photo/1 
https://mobile.twitter.com/ltornarolli/status/1045657997291257857/photo/1 
- La Yugoslavia de Tito:
https://m.youtube.com/watch?v=DMPeriwoURE
https://m.youtube.com/watch?v=aBt3cctAzJM
https://m.youtube.com/watch?v=3WJ2DfxsnoU
- Domingo Cavallo, icono del Liberalismo Argento acepto ser funcionario de las dictaduras asesinas de Ongania, Lanusse, Viola y Bignone 
Ademas fue el padre del ""Corralito"", Megacanje y subio el IVA del 18 al 21%
https://es.m.wikipedia.org/wiki/Domingo_Cavallo
- la Fundación Libertad, de Rosario recibia aportes de Vicentin (empresa privada) que a su vez obtenia fondos de préstamos incobrables del Banco Nación, debido al mal estado de sus cuentas. 
https://mobile.twitter.com/ndvoskin/status/1272162157833175041
https://www.elciudadanoweb.com/la-debacle-del-neoliberalismo-fundacion-libertad-entro-en-default-y-planea-duro-ajuste-en-su-sede
- Sabian que con nuestros impuestos le pagamos la campaña presidencial al ""Liberal Anti-Estado"" Jose Luis Espert (Y tambien al Conservador Gomez Centurion) que tuvo un costo de $ 61.373.557 de pesos y que al no recibir aportes privados se financio exclusivamente con el 100% de fondos publicos y encima en la eleccion salio ultimo  
https://www.cronista.com/economiapolitica/Elecciones-2019-el-voto-mas-barato-fue-el-de-Alberto-y-el-de-Espert-el-que-mas-le-costo-al-Estado-20200217-0041.html 
- El economista Liberal Javier Milei cobro el ATP que abona la ANSES desde el Estado (Y trabaja para uno de los mayores ""Empresarios Prebendarios"" de la Argentina que tanto critican los Liberales , Eduardo Eurnekian)
Y se canso de errar pronosticos economicos
https://www.pagina12.com.ar/286434-javier-milei-el-profeta-del-caos-que-no-se-cumple
https://www.eldestapeweb.com/politica/coronavirus-en-argentina/insolito-el-militante-anti-cuarentena-javier-milei-cobro-plata-del-estado-por-la-crisis-20205261910
- El jefe de campaña de Espert confeso que Larreta los financio
http://argentinatoday.org/2020/05/21/libertarios-la-insolita-confesion-del-jefe-de-campana-de-espert-larreta-nos-financio/
- Los Liberales todavia no llegan al gobierno y ya estan robando
https://www.infobae.com/sociedad/policiales/2019/08/23/detuvieron-a-una-candidata-de-espert-por-robar-mercaderia-de-un-supermercado-con-un-changuito-de-doble-fondo/ 
- Saben que tienen en comun los Liberales  Ivan Carrino, Ramiro Castiñeira, Juani Fernandez, Natalia Motyl, Yamil Santoro, Etc ??? 
Que todos se recibieron en la UBA la universidad mas importante y prestigiosa de la Argentina que es publica, gratuita y pagada con los impuestos de todos 
- Los Oligarcas ""Liberales"" del Campo que piden que el estado se corra, son los mismos que aplaudian Dictaduras, ""Negrean"" a mas del 80% de los trabajadores rurales y tambien tienen causas por esclavitud, explotacion infantil y hasta homicidio
https://www.politicargentina.com/notas/201508/7197-el-discurso-de-la-sociedad-rural-y-sus-antecedentes.html
https://misionesonline.net/2020/01/16/durante-el-2019-el-83-de-los-trabajadores-del-campo-se-encontraban-en-negro-segun-un-relevamiento-del-renatre/
https://www.clarin.com/sociedad/trabajo-esclavo-rescatan-100-personas-campo-arandanos_0_Sks0HyBGg.html
https://www.infobae.com/campo/2019/11/30/en-corrientes-detectaron-a-trabajadores-rurales-en-estado-de-esclavitud-y-5-casos-de-trabajo-infantil/?outputType=amp-type
https://informepolitico.com.ar/la-sociedad-rural-tambien-recibio-aportes-estatales-del-programa-atp-para-pagar-salarios/
https://www.perfil.com/amp/noticias/policia/productor-rural-mato-a-joven-que-cazaba-liebres-y-perdices-en-su-campo-canuelas.phtml
- Vean al Licenciado Hector Giuliano 
https://m.youtube.com/watch?v=kWXbNV8Er14  https://m.youtube.com/watch?v=24dsdJHo_bA
http://www.aldorso.com.ar/06-ENE-14_Giuliano.htm
- Socialismo Participativo de Thomas Piketty:
https://m.youtube.com/watch?v=ZmSRHr2Gp6o
https://m.youtube.com/watch?v=x5ECZfSRdvg
 - Es un mito eso de que se necesitan Dolares para hacer grandes proyectos de Obra Publica e Infraestructura para reactivar la economia Eso puede hacerse con la implementacion de una ""Moneda Soberana"" 
https://k61.kn3.net/taringa/8/A/5/B/C/4/Adrian-Salbuchi/7B9.jpg
 - La solucion del Economista Silvio Gesell (ver tambien a Gottfried Feder, Hjalmar Schacht, la Sustitución del patrón-oro/dolar por el patrón-trabajo y el Trueque entre paises para ahorrar divisas) 
https://argentinatoday.org/2020/02/08/gesell-mas-que-una-villa/ 
https://circuitocomerciosocial.wordpress.com/worgl-un-referente-historico/ 
https://www.elconfidencial.com/amp/alma-corazon-vida/2019-09-02/economia-siglo-xix-capitalismo-sociedad_2201555/
https://falange.es/diez-medidas-falangistas-para-mejorar-la-situacion-economica
https://www.gestiopolis.com/resena-las-politicas-economicas-salvaron-al-tercer-reich/amp/ https://www.taringa.net/+info/psr-segundo-pilar-recuperar-nuestra-moneda-soberana_w36ok?page=0 https://www.elblogsalmon.com/historia-de-la-economia/como-hitler-y-el-nazismo-consiguieron-acabar-con-el-desempleo-en-los-anos-30/amp
 https://www.taringa.net/+economia_negocios/la-economia-nazi-bien-explicada_1060t2 
http://blogs.lavanguardia.com/diario-de-futuro/15-anos-de-la-moneda-local-chiemgauer-en-rosenheim-baviera-alemania-22025
http://ww2diario.blogspot.com/2011/01/la-politica-economica-del-fuhrer.html?m=1
https://mobile.twitter.com/IdealismoNazi/status/1238745483952226310
https://psr.la/blog/2019/01/04/las-letras-mefo-del-dr-hjalmar-schacht
- Ingreso Basico Universal
http://www.panamarevista.com/llego-el-momento-del-salario-universal/
https://m.youtube.com/watch?v=HNKeQ1MlAqA
https://m.youtube.com/watch?v=0WeB9ppG8kM
 - Los Rothschild (que controlan el mundo) son la mayor plaga de la historia de la humanidad !!! 
https://m.youtube.com/watch?v=E7EjLcwGSKM
https://m.youtube.com/watch?v=Y6JrUoHTGLg
https://m.youtube.com/watch?v=V2-dHPtgLuI https://m.youtube.com/watch?v=YOB4r1K_G7Q https://m.youtube.com/watch?v=s8ArEJp0VFI
.
......",Hace 5 días,False,1,El Jefe,UCU0JKhhCN8DJz6HkHMz8Fng,1,https://yt3.ggpht.com/a/AATXAJwLU7lQ_Yj8iSlj45MnrloPAH7tfUdGVvSB2Q=s48-c-k-c0xffffffff-no-rj-mo,False
